,item,test,predict,rmse,abs(diff)
m+1,EFX-FLY-BLK,2,0,3.83,10
m+2,EFX-FLY-BLK,2,0,,
m+3,EFX-FLY-BLK,6,0,,
m+1,M80-2B-BLK,1,0,1.73,1
m+2,M80-2B-BLK,1,3,,
m+3,M80-2B-BLK,2,0,,
m+1,M80-2G-BLK,5,0,5.48,14
m+2,M80-2G-BLK,4,3,,
m+3,M80-2G-BLK,9,1,,
m+1,M80-AC-BLK,0,2,2.08,1
m+2,M80-AC-BLK,0,0,,
m+3,M80-AC-BLK,3,0,,
m+1,M80-AD-BLK,3,4,0.82,2
m+2,M80-AD-BLK,1,2,,
m+3,M80-AD-BLK,0,0,,
m+1,M80-BTY-BLK-L,3,0,2.16,6
m+2,M80-BTY-BLK-L,1,0,,
m+3,M80-BTY-BLK-L,2,0,,
m+1,M80-BTY-BLK-S,0,0,2.08,5
m+2,M80-BTY-BLK-S,2,0,,
m+3,M80-BTY-BLK-S,3,0,,
m+1,M80-EB-BLK,3,0,1.83,4
m+2,M80-EB-BLK,1,1,,
m+3,M80-EB-BLK,1,0,,
m+1,M80-EG-BLK,2,0,3.11,7
m+2,M80-EG-BLK,0,0,,
m+3,M80-EG-BLK,5,0,,
m+1,M80-SEB-BLK,0,3,2.94,8
m+2,M80-SEB-BLK,3,4,,
m+3,M80-SEB-BLK,0,4,,
m+1,M80-SEG-ASH,1,0,1.29,3
m+2,M80-SEG-ASH,1,1,,
m+3,M80-SEG-ASH,2,0,,
m+1,M80-SEG-BLK,2,3,2.52,1
m+2,M80-SEG-BLK,0,3,,
m+3,M80-SEG-BLK,3,0,,
m+1,M80-TICK-V2-BLK,4,0,4.51,13
m+2,M80-TICK-V2-BLK,3,0,,
m+3,M80-TICK-V2-BLK,6,0,,
m+1,M80-TOUR-V2-BLK,1,2,1.91,3
m+2,M80-TOUR-V2-BLK,1,0,,
m+3,M80-TOUR-V2-BLK,3,0,,
m+1,M80-VAD-BLK,3,5,3.11,9
m+2,M80-VAD-BLK,0,4,,
m+3,M80-VAD-BLK,3,6,,
m+1,M80-VEB-BLK,2,4,2.38,7
m+2,M80-VEB-BLK,3,6,,
m+3,M80-VEB-BLK,4,6,,
m+1,M80-VEB-GRY,0,3,2.08,5
m+2,M80-VEB-GRY,1,1,,
m+3,M80-VEB-GRY,0,2,,
m+1,M80-VEG-BLK,2,1,1.91,5
m+2,M80-VEG-BLK,3,2,,
m+3,M80-VEG-BLK,3,0,,
m+1,M80-VEG-GRY,3,0,2.38,7
m+2,M80-VEG-GRY,2,0,,
m+3,M80-VEG-GRY,2,0,,
m+1,M80-VHB-BLK,0,0,1.73,3
m+2,M80-VHB-BLK,4,4,,
m+3,M80-VHB-BLK,3,0,,
